CALCULATION REPORT

AUTHOR:;
SOURCE ID:;RUR01

DATA TYPE:;SMOOTHED DATA

SAMPLE FILES

COMPOSITIONAL ANALYSIS
Composition (Inclusion)
(ppm)
filename;ID;Li7;B11;Na23;Mg24;Mg25;Al27;Si29;P31;S34;Cl35;K39;Ca43;Ca44;Ti49;Fe56;Fe57;Cu63;Br81;Rb85;Sr88;I127;Cs133;Ba137;Au197;Th232;U238
24_01_29_a09.csv;A;20.16317;48.54534;6088.68541;-0.0;-0.0;-0.2251;352.4437;-0.0;799.82181;74158.69943;10000.0;1239.32171;-0.0;3.13726;13965.80853;12591.6726;9.10631;-0.0;121.26044;105.27899;-2.02884;19.56143;386.42368;-0.0;19.28243;-0.0
24_01_29_a10.csv;A;186.10834;92.74711;23678.43468;826.15174;1452.14843;-0.0;-0.0;88026.88992;8199.9447;161236.53654;10000.0;-0.0;-0.0;-0.0;6713.71698;6338.49091;-0.0;227.23343;88.42738;-0.0;-4.47236;17.92255;391.93265;2.00396;88.94874;20.17315
24_01_29_a11.csv;A;-10.34925;131.03669;25790.24901;232.49832;-0.0;-0.0;-0.0;-0.0;-0.0;165015.6353;10000.0;-0.0;-0.0;-0.0;7110.54687;6728.87033;33.42685;-0.0;128.53159;313.53119;-0.0;21.7181;295.09146;-0.0;-0.0;11.07736
24_01_29_a13.csv;A;49.63184;52.47792;-0.0;-0.0;-1.22265;-0.0;-115.83058;-0.0;-0.0;75600.04487;10000.0;8408.14583;-0.0;-0.0;13204.55971;10119.87489;3.93957;-5.92901;57.67338;269.85816;2.36805;25.76314;189.57867;-0.0;-0.0;-0.05709
24_01_29_a15.csv;A;-0.0;311.63107;3264.34532;7.1015;-0.0;-0.0;-0.0;-0.0;-0.0;182723.17192;10000.0;167274.45087;-0.0;-0.0;19038.69844;11535.11057;65.13507;198.31688;72.58358;-0.0;83.30138;22.06432;122.89734;37.0461;-0.0;-0.0
24_01_29_a16.csv;A;67.27629;158.838;20513.593;1014.28508;1003.65522;-0.55818;-0.0;166220.6997;-0.0;322731.81066;10000.0;-0.0;-0.0;-1.16643;132371.21825;116900.95389;765.96765;-0.0;177.98588;146.61438;-2.23006;50.32433;2635.48584;-0.0;79.72227;2.49599
24_01_29_a19.csv;A;67.32285;26.53308;6749.50737;-0.0;-0.0;-0.0;-0.0;47930.82343;746.35497;111938.99258;10000.0;67944.82311;-0.0;-0.0;28160.10856;24903.21756;18.73058;-24.22244;115.53987;252.48871;-3.21307;20.67585;799.72002;-0.31687;42.71304;1.29086

1-Sigma Composition (Inclusion)
