C:\Agilent\ICPMH\1\DATA\User Batches\Tobias_F\Orogenic Gold\PAM_FI_16apr18.b\16apr18_a13.d
Intensity Vs Time,CPS
Acquired      : 18/04/2016 15:43:59 using Batch PAM_FI_16apr18.b
Time [Sec],Li7,B11,Na23,Mg24,Si29,S32,Cl35,K39,Ca44,Ti49,Mn55,Fe57,Cu63,Zn66,As75,Br81,Rb85,Sr88,Ag107,Sb121,Cs133,Ba137,W182,Au197,Pb208
0.3621,0.00,0.00,4200.58,0.00,23017.54,103001.11,3800.48,13806.36,1600.09,0.00,1000.03,0.00,0.00,0.00,400.01,3350.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.6592,0.00,0.00,5000.83,200.00,13205.78,103202.49,3300.36,14206.73,2400.19,0.00,1800.11,200.00,0.00,0.00,200.00,2900.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
0.9562,0.00,0.00,5701.07,0.00,11004.01,99326.55,3150.33,11604.49,2000.13,0.00,1800.11,0.00,0.00,0.00,0.00,3100.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.2532,0.00,0.00,4200.58,0.00,8402.34,102799.74,3300.36,10403.61,2600.23,0.00,2400.19,200.00,0.00,0.00,0.00,3500.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.5502,0.00,0.00,3800.48,0.00,5601.04,102044.64,2400.19,12004.81,2200.16,0.00,3600.44,0.00,0.00,0.00,0.00,2550.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.8473,0.00,0.00,5601.03,0.00,5801.12,101692.27,3550.42,13005.64,3000.30,0.00,1600.09,600.01,0.00,0.00,200.00,2850.28,0.00,0.00,50.00,800.02,0.00,0.00,0.00,33.33,0.00
2.1443,0.00,0.00,7001.62,0.00,4600.70,104712.87,3650.44,13005.64,1400.07,0.00,1400.07,0.00,0.00,0.00,0.00,3050.32,0.00,0.00,50.00,0.00,0.00,0.00,0.00,16.67,0.00
2.4413,0.00,0.00,6501.39,0.00,4200.58,99024.57,3300.36,9002.70,1800.11,0.00,2000.14,200.00,0.00,0.00,400.01,2700.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.7383,0.00,200.00,5901.15,0.00,4600.70,98571.61,3350.37,11204.19,1400.07,0.00,1800.11,0.00,0.00,0.00,0.00,3700.47,0.00,0.00,50.00,400.01,0.00,0.00,0.00,0.00,0.00
3.0354,0.00,0.00,4900.79,0.00,2000.13,104410.78,2800.26,12805.47,2000.13,0.00,1400.07,400.01,0.00,0.00,0.00,2950.30,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.3324,0.00,0.00,5300.93,0.00,3800.48,103705.93,4000.53,12405.13,2000.13,0.00,1800.11,0.00,0.00,0.00,200.00,3300.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.6294,0.00,0.00,5100.86,0.00,5000.83,100282.86,3200.34,12204.97,1000.03,0.00,1400.07,400.01,0.00,0.00,200.00,3750.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.9264,0.00,0.00,5901.15,0.00,4000.53,98219.32,3550.42,12405.13,1600.09,0.00,2000.14,0.00,0.00,0.00,0.00,2850.28,0.00,0.00,0.00,600.01,0.00,0.00,0.00,16.67,0.00
4.2235,0.00,0.00,3800.48,0.00,7401.82,95803.83,3500.41,12204.97,1200.05,0.00,800.02,200.00,0.00,0.00,0.00,3000.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.5205,0.00,200.00,5901.15,0.00,8802.57,101943.96,3350.37,11604.49,1800.11,0.00,1800.11,0.00,0.00,0.00,400.01,2400.20,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
4.8175,400.01,0.00,5901.15,0.00,6801.53,99225.89,3500.41,13005.64,1600.09,0.00,1800.11,0.00,0.00,0.00,0.00,2350.19,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00
5.1145,0.00,0.00,6001.19,0.00,4800.76,103152.14,3700.46,10203.47,1800.11,0.00,2000.14,400.01,0.00,0.00,0.00,3350.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
5.4116,0.00,0.00,4200.58,0.00,4600.70,102397.02,3500.41,11804.65,2600.23,0.00,2000.14,200.00,0.00,0.00,0.00,2600.23,0.00,0.00,0.00,200.00,0.00,0.00,0.00,16.67,0.00
5.7086,0.00,0.00,5200.89,0.00,5200.90,99628.53,3250.35,11804.65,1200.05,0.00,2000.14,200.00,0.00,0.00,200.00,2750.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.0056,0.00,0.00,4200.58,0.00,5400.97,103101.81,2950.29,13406.00,2600.23,0.00,2000.14,0.00,0.00,0.00,0.00,3550.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.3026,0.00,0.00,6901.57,0.00,3800.48,106475.16,2600.23,12004.81,2400.19,0.00,1600.09,0.00,0.00,0.00,0.00,3700.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.5997,0.00,0.00,5701.07,0.00,3400.38,101037.88,2950.29,10403.61,2200.16,0.00,1800.11,200.00,0.00,0.00,0.00,3250.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.8967,0.00,0.00,4800.76,0.00,5200.90,98873.58,3750.47,9603.08,1200.05,0.00,1200.05,200.00,0.00,0.00,400.01,2700.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
7.1937,0.00,0.00,6201.27,0.00,5200.90,96608.95,4200.59,13806.36,1200.05,0.00,1000.03,0.00,0.00,0.00,0.00,2350.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.4907,0.00,0.00,5300.93,0.00,6401.36,99779.53,3850.49,11604.49,2000.13,0.00,2600.23,200.00,0.00,0.00,0.00,2750.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.67,0.00
7.7878,0.00,0.00,3600.43,0.00,5400.97,104612.16,2900.28,14006.54,1800.11,0.00,800.02,200.00,0.00,0.00,0.00,3650.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.0848,0.00,0.00,4400.64,0.00,4200.58,103907.31,3350.37,12405.13,1600.09,0.00,1600.09,200.00,0.00,0.00,0.00,3000.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.3818,0.00,0.00,4700.73,0.00,5000.83,100182.19,3650.44,16008.55,2200.16,0.00,1400.07,200.00,0.00,0.00,0.00,2800.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
